# ----------------------------------------
# 1 Master View
# Location
# 20171001-20171031
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Detroit,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,15,12,19,63.16%,2.26,00:00:42,0,$0.00,0.00%,0.00%
Detroit,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,2,1,2,50.00%,18.00,00:06:34,1,$30.38,50.00%,200.00%
Detroit,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,139,125,178,76.97%,1.68,00:00:48,0,$0.00,0.00%,0.56%
Cambridge,"Oct 1, 2017 - Oct 31, 2017",All Users,161,113,233,26.18%,6.61,00:03:26,22,"$4,801.41",9.44%,55.36%
Cambridge,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,20,18,24,45.83%,4.21,00:04:21,0,$0.00,0.00%,16.67%
Cambridge,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,24,11,49,10.20%,11.53,00:06:20,22,"$4,801.41",44.90%,167.35%
Cambridge,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,12,11,13,69.23%,1.69,00:00:41,0,$0.00,0.00%,0.00%
San Bruno,"Oct 1, 2017 - Oct 31, 2017",All Users,160,103,210,17.14%,7.77,00:03:54,14,"$1,689.57",6.67%,58.10%
San Bruno,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,15,14,15,46.67%,3.73,00:01:31,0,$0.00,0.00%,26.67%
San Bruno,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,19,10,31,9.68%,15.55,00:06:51,14,"$1,689.57",45.16%,193.55%
San Bruno,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,7,6,8,12.50%,5.12,00:04:54,0,$0.00,0.00%,12.50%
Portland,"Oct 1, 2017 - Oct 31, 2017",All Users,152,132,202,56.93%,3.51,00:02:14,6,"$2,340.00",2.97%,21.29%
Portland,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,17,14,19,36.84%,3.58,00:02:30,0,$0.00,0.00%,10.53%
Portland,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,5,1,17,5.88%,13.47,00:12:03,6,"$2,340.00",35.29%,182.35%
Portland,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,77,66,106,75.47%,1.92,00:01:20,0,$0.00,0.00%,1.89%
Indianapolis,"Oct 1, 2017 - Oct 31, 2017",All Users,147,141,188,66.49%,2.63,00:01:33,0,$0.00,0.00%,5.32%
Indianapolis,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,14,13,15,60.00%,2.40,00:00:47,0,$0.00,0.00%,6.67%
Indianapolis,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,0,0,0,0.00%,0.00,00:00:00,0,$0.00,0.00%,0.00%
Indianapolis,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,112,106,151,72.85%,2.06,00:01:29,0,$0.00,0.00%,2.65%
Minneapolis,"Oct 1, 2017 - Oct 31, 2017",All Users,137,122,174,50.00%,5.03,00:02:55,5,"$1,087.16",2.87%,20.69%
Minneapolis,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,20,16,26,46.15%,7.62,00:04:22,2,$654.10,7.69%,42.31%
Minneapolis,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,5,2,11,18.18%,24.36,00:10:08,5,"$1,087.16",45.45%,181.82%
Minneapolis,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,86,77,107,61.68%,3.01,00:01:49,0,$0.00,0.00%,4.67%
Oakland,"Oct 1, 2017 - Oct 31, 2017",All Users,134,96,172,25.00%,7.26,00:05:04,11,"$3,994.78",6.40%,56.40%
Oakland,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,24,17,29,44.83%,5.83,00:03:53,1,$260.99,3.45%,51.72%
Oakland,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,17,6,29,10.34%,15.69,00:11:46,11,"$3,994.78",37.93%,193.10%
Oakland,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,38,27,47,48.94%,5.45,00:03:17,0,$0.00,0.00%,25.53%
Cupertino,"Oct 1, 2017 - Oct 31, 2017",All Users,133,101,167,23.35%,6.62,00:03:59,11,"$3,332.40",6.59%,53.29%
Cupertino,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,20,17,24,20.83%,4.04,00:02:21,0,$0.00,0.00%,20.83%
Cupertino,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,14,6,26,3.85%,12.81,00:11:15,11,"$3,332.40",42.31%,161.54%
Cupertino,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,27,24,33,39.39%,3.91,00:02:03,0,$0.00,0.00%,9.09%
Tampa,"Oct 1, 2017 - Oct 31, 2017",All Users,132,114,166,65.06%,3.18,00:01:33,1,$199.00,0.60%,12.65%
Tampa,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,16,13,18,55.56%,4.17,00:01:34,1,$199.00,5.56%,33.33%
Tampa,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,1,1,1,0.00%,22.00,00:11:36,1,$199.00,100.00%,400.00%
Tampa,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,97,80,129,75.97%,2.47,00:01:14,0,$0.00,0.00%,6.20%
Milpitas,"Oct 1, 2017 - Oct 31, 2017",All Users,131,101,169,23.67%,7.43,00:04:09,18,"$5,332.18",10.65%,67.46%
Milpitas,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,32,28,35,31.43%,4.60,00:03:08,1,$47.93,2.86%,28.57%
Milpitas,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,17,12,33,9.09%,15.30,00:10:43,18,"$5,332.18",54.55%,212.12%
Milpitas,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,36,33,42,40.48%,4.55,00:02:50,2,$296.93,4.76%,23.81%
Redwood City,"Oct 1, 2017 - Oct 31, 2017",All Users,122,100,151,30.46%,6.70,00:03:49,9,"$1,404.38",5.96%,48.34%
Redwood City,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,46,43,48,37.50%,5.48,00:01:32,1,$10.39,2.08%,31.25%
Redwood City,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,13,7,18,5.56%,14.61,00:05:55,9,"$1,404.38",50.00%,205.56%
